Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets
2024-03-06,Indian Wells,hardcourt-outdoor,"Kokkinakis, Thanasi",94,647,"Giron, Marcos",49,980,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Hanfmann, Yannick",59,848,"Cachin, Pedro",99,613,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Shevchenko, Alexander",60,848,"Koepfer, Dominik",52,932,3,"[[[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Eubanks, Christopher",43,1053,"Nakashima, Brandon",72,760,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Van Assche, Luca",97,628,"Arnaldi, Matteo",37,1160,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Murray, Andy",77,735,"Goffin, David",114,562,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Marozsan, Fabian",36,1179,"Rodionov, Jurij",133,487,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Daniel, Taro",82,715,"Galan, Daniel Elahi",90,656,3,"[[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]]]","[[1, 0], [2, 0]]"
2024-03-06,Indian Wells,hardcourt-outdoor,"Lestienne, Constant",88,669,"Kudla, Denis",161,370,3,"[[[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Nishioka, Yoshihito",80,721,"Shang, Juncheng",105,590,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Zhukayev, Beibit",174,347,"Mayot, Harold",130,499,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]]]","[[0, 1], [0, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Cressy, Maxime",169,355,"Goffin, David",114,562,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Johnson, Steve",258,227,"Nava, Emilio",124,511,3,"[[[0, 1], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Hijikata, Rinky",79,724,"Pouille, Lucas",229,263,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]], [[1, 0], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Nardi, Luca",81,718,"Atmane, Terence",137,463,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]]]","[[1, 0], [2, 0]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Bagnis, Facundo",119,541,"Mmoh, Michael",116,557,3,"[[[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Gaston, Hugo",96,630,"Kudla, Denis",161,370,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Wild, Thiago Seyboth",61,839,"Broady, Liam",145,423,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [6, 1]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]]","[[1, 0], [2, 0]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Hassan, Benjamin",147,418,"Mochizuki, Shintaro",157,386,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Klein, Lukas",118,544,"Svajda, Zachary",122,518,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [1, 1], [2, 1]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Nagal, Sumit",93,648,"Hong, Seong Chan",198,302,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]], [[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Quinn, Ethan",245,239,"Vavassori, Andrea",168,355,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Molcan, Alex",210,291,"Grenier, Hugo",173,350,3,"[[[0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-03-05,"Indian Wells, Qualifying",hardcourt-outdoor,"Pouille, Lucas",229,263,"Mayot, Harold",130,499,3,"[[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6]], [[1, 0], [2, 0], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Dzumhur, Damir",131,499,"Vavassori, Andrea",168,355,3,"[[[0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Halys, Quentin",188,321,"Quinn, Ethan",245,239,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [1, 5], [1, 6]], [[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Polmans, Marc",197,303,"Broady, Liam",145,423,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Wild, Thiago Seyboth",61,839,"Walton, Adam",111,572,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Kwon, Soon Woo",487,85,"Hong, Seong Chan",198,302,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [3, 5], [3, 6]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Paire, Benoit",143,432,"Molcan, Alex",210,291,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Svajda, Zachary",122,518,"Ajdukovic, Duje",129,500,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Cazaux, Arthur",75,740,"Hassan, Benjamin",147,418,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Grenier, Hugo",173,350,"Medjedovic, Hamad",121,522,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]]]","[[1, 0], [2, 0]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Marterer, Maximilian",98,616,"Klein, Lukas",118,544,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Mochizuki, Shintaro",157,386,"Schwartzman, Diego S.",142,439,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [3, 0], [3, 1], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Lestienne, Constant",88,669,"Ymer, Elias",200,301,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [2, 0]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Moreno De Alboran, Nicolas",136,466,"Alves, Felipe",132,487,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [6, 1]]]","[[1, 0], [2, 0]]"
2024-03-04,"Indian Wells, Qualifying",hardcourt-outdoor,"Rodionov, Jurij",133,487,"Gaio, Federico",265,219,3,"[[[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [5, 1], [6, 1]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]"
2024-03-03,Acapulco,hardcourt-outdoor,"Minaur, Alex De",11,3435,"Ruud, Casper",7,4535,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]"
2024-03-03,Santiago,red-clay,"Tabilo, Alejandro",32,1320,"Baez, Sebastian",19,1960,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [4, 5], [4, 6]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-02,Acapulco,hardcourt-outdoor,"Ruud, Casper",7,4535,"Rune, Holger V. N.",12,3250,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-02,Dubai,hardcourt-outdoor,"Humbert, Ugo",15,2455,"Bublik, Alexander",17,2055,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]"
2024-03-02,Santiago,red-clay,"Moutet, Corentin",83,715,"Tabilo, Alejandro",32,1320,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [5, 4], [6, 4]], [[1, 0], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]]","[[1, 0], [1, 1], [1, 2]]"
2024-03-02,Santiago,red-clay,"Martinez, Pedro",51,937,"Baez, Sebastian",19,1960,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-03-01,Acapulco,hardcourt-outdoor,"Minaur, Alex De",11,3435,"Tsitsipas, Stefanos",8,3860,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-01,Acapulco,hardcourt-outdoor,"Kecmanovic, Miomir",58,850,"Draper, Jack",40,1136,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-03-01,Acapulco,hardcourt-outdoor,"Koepfer, Dominik",52,932,"Rune, Holger V. N.",12,3250,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [3, 5], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-03-01,Acapulco,hardcourt-outdoor,"Ruud, Casper",7,4535,"Shelton, Ben",14,2460,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[0, 1], [1, 1], [2, 1]]"
2024-03-01,Dubai,hardcourt-outdoor,"Medvedev, Daniil",4,7195,"Humbert, Ugo",15,2455,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]"
2024-03-01,Santiago,red-clay,"Munar Clar, Jaume",68,805,"Baez, Sebastian",19,1960,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
2024-03-01,Santiago,red-clay,"Martinez, Pedro",51,937,"Fils, Arthur",34,1251,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [1, 1], [2, 1]]"
2024-03-01,Santiago,red-clay,"Tabilo, Alejandro",32,1320,"Darderi, Luciano",54,918,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]"
2024-03-01,Santiago,red-clay,"Jarry, Nicolas",24,1675,"Moutet, Corentin",83,715,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [5, 4], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Nishioka, Yoshihito",80,721,"Draper, Jack",40,1136,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6]]]","[[0, 1], [0, 2]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Tiafoe, Francis",25,1650,"Koepfer, Dominik",52,932,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [7, 5]], [[0, 1], [0, 2], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]]]","[[0, 1], [1, 1], [1, 2]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Minaur, Alex De",11,3435,"Ofner, Sebastian",46,1036,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [5, 1], [6, 1]], [[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Altmaier, Daniel",78,733,"Kecmanovic, Miomir",58,850,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Cobolli, Flavio",57,868,"Tsitsipas, Stefanos",8,3860,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Shelton, Ben",14,2460,"Arnaldi, Matteo",37,1160,3,"[[[1, 0], [1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [5, 1], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [1, 1], [2, 1]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Kovacevic, Aleksandar",89,668,"Rune, Holger V. N.",12,3250,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]"
2024-02-29,Acapulco,hardcourt-outdoor,"Ruud, Casper",7,4535,"Lajovic, Dusan",64,811,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]"
2024-02-29,Dubai,hardcourt-outdoor,"Medvedev, Daniil",4,7195,"Davidovich Fokina, Alejandro",33,1315,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]"
