Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets,Player1_Aces,Player1_BreakpointsWon,Player1_DoubleFaults,Player1_FirstServePointsWon,Player1_FirstServeSuccessful,Player1_MaxPointsInARow,Player1_PointsWon,Player1_SecondServePointsWon,Player1_SecondServeSuccessful,Player1_ServiceGamesWon,Player1_ServicePointsLost,Player1_ServicePointsWon,Player1_TiebreaksWon,Player1_TotalBreakpoints,Player1_GamesWon,Player1_MaxGamesInARow,Player2_Aces,Player2_BreakpointsWon,Player2_DoubleFaults,Player2_FirstServePointsWon,Player2_FirstServeSuccessful,Player2_MaxPointsInARow,Player2_PointsWon,Player2_SecondServePointsWon,Player2_SecondServeSuccessful,Player2_ServiceGamesWon,Player2_ServicePointsLost,Player2_ServicePointsWon,Player2_TiebreaksWon,Player2_TotalBreakpoints,Player2_GamesWon,Player2_MaxGamesInARow
2024-05-14,Rome,red-clay,"Paul, Tommy",16,2300,"Medvedev, Daniil",4,7195,3,"[[[0, 1], [1, 1], [2, 1], [4, 1], [5, 1], [6, 1]], [[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",2,5,0,23,39,8,58,14,19,7,21,37,0,6,12,6,1,2,2,11,19,5,42,10,21,3,21,21,0,5,5,2
2024-05-14,Rome,red-clay,"Tsitsipas, Stefanos",8,3860,"Minaur, Alex De",11,3435,3,"[[[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [5, 1], [6, 1]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",0,5,0,20,27,7,53,10,12,7,9,30,0,8,12,4,0,1,1,13,27,5,27,5,13,2,23,18,0,2,3,1
2024-05-13,Rome,red-clay,"Auger Aliassime, Felix",20,1880,"Minaur, Alex De",11,3435,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[1, 0], [1, 1], [1, 2]]",5,2,13,42,54,10,94,22,38,12,41,64,1,4,15,3,1,4,1,31,44,7,99,27,43,14,30,58,0,12,18,3
2024-05-13,Rome,red-clay,"Tsitsipas, Stefanos",8,3860,"Norrie, Cameron",30,1350,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]]]","[[1, 0], [2, 0]]",5,3,2,30,37,10,66,11,17,9,15,41,1,9,13,5,2,1,0,28,41,6,53,10,22,7,25,38,0,1,8,3
2024-05-13,Rome,red-clay,"Muller, Alexandre",109,577,"Rublev, Andrey",6,4740,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[0, 1], [1, 1], [2, 1]]",6,3,0,42,58,6,86,12,22,12,26,54,0,11,15,5,5,1,4,35,49,5,78,17,31,10,32,52,0,5,11,3
2024-05-13,Rome,red-clay,"Paul, Tommy",16,2300,"Koepfer, Dominik",52,932,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]",2,4,3,26,33,7,77,11,17,8,16,37,0,16,12,4,0,2,4,28,45,5,55,11,31,5,40,38,0,7,7,2
2024-05-13,Rome,red-clay,"Napolitano, Stefano",125,506,"Jarry, Nicolas",24,1675,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]], [[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [1, 1], [1, 2]]",2,2,3,26,42,7,79,24,36,10,31,50,0,7,12,3,8,4,3,39,51,10,86,16,30,12,29,55,0,8,16,5
2024-05-13,Rome,red-clay,"Hurkacz, Hubert",9,3730,"Etcheverry, T. Martin",28,1460,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",11,2,0,36,46,7,77,17,31,10,24,53,1,2,13,5,2,0,1,26,37,4,66,16,28,8,24,42,0,3,8,1
2024-05-13,Rome,red-clay,"Medjedovic, Hamad",121,522,"Medvedev, Daniil",4,7195,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [1, 1], [1, 2]]",2,5,3,47,70,8,116,19,35,12,42,66,0,13,17,3,7,4,10,46,67,6,109,21,40,11,50,67,1,8,16,3
2024-05-13,Rome,red-clay,"Baez, Sebastian",19,1960,"Rune, Holger V. N.",12,3250,3,"[[[0, 1], [0, 2], [0, 3], [0, 4], [1, 4], [2, 4], [2, 5], [2, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]]]","[[0, 1], [1, 1], [2, 1]]",0,5,3,38,55,14,82,9,14,9,25,47,0,6,14,5,1,3,4,25,43,6,65,15,28,8,35,40,0,6,11,4
