Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets,Player1_Aces,Player1_BreakpointsWon,Player1_DoubleFaults,Player1_FirstServePointsWon,Player1_FirstServeSuccessful,Player1_MaxPointsInARow,Player1_PointsWon,Player1_SecondServePointsWon,Player1_SecondServeSuccessful,Player1_ServiceGamesWon,Player1_ServicePointsLost,Player1_ServicePointsWon,Player1_TiebreaksWon,Player1_TotalBreakpoints,Player1_GamesWon,Player1_MaxGamesInARow,Player2_Aces,Player2_BreakpointsWon,Player2_DoubleFaults,Player2_FirstServePointsWon,Player2_FirstServeSuccessful,Player2_MaxPointsInARow,Player2_PointsWon,Player2_SecondServePointsWon,Player2_SecondServeSuccessful,Player2_ServiceGamesWon,Player2_ServicePointsLost,Player2_ServicePointsWon,Player2_TiebreaksWon,Player2_TotalBreakpoints,Player2_GamesWon,Player2_MaxGamesInARow
2023-10-16,Antwerp,hardcourt-indoor,"Rinderknech, Arthur",73,754,"Gaston, Hugo",96,630,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[0, 1], [0, 2]]",11,1,0,39,57,5,83,12,22,9,28,51,0,4,10,3,3,2,4,29,43,7,86,29,43,10,32,58,1,5,13,3
2023-10-16,Stockholm,hardcourt-indoor,"Kecmanovic, Miomir",58,850,"Friberg, Karl",449,99,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",3,3,1,27,37,7,65,14,19,9,16,41,0,7,12,5,6,0,0,24,36,6,48,8,20,6,24,32,0,7,6,1
2023-10-16,Stockholm,hardcourt-indoor,"Ymer, Elias",200,301,"Bautista-Agut, Roberto",85,703,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [0, 2], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",7,3,0,23,29,10,66,14,17,9,9,37,0,6,12,3,1,1,4,25,42,5,45,11,19,7,29,36,0,1,8,2
2023-10-16,Antwerp,hardcourt-indoor,"Goffin, David",114,562,"Halys, Quentin",188,321,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [3, 3], [3, 4], [4, 4], [5, 4], [6, 4]], [[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [5, 1], [6, 1]]]","[[1, 0], [2, 0]]",9,5,0,23,25,7,59,7,12,7,7,30,0,9,12,7,5,1,2,23,39,5,34,4,15,4,29,27,0,2,5,3
2023-10-15,Shanghai,hardcourt-outdoor,"Rublev, Andrey",6,4740,"Hurkacz, Hubert",9,3730,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]]]","[[0, 1], [1, 1], [1, 2]]",13,1,0,51,68,7,95,19,28,14,26,70,0,2,15,3,21,1,0,57,71,5,94,11,22,14,25,68,1,4,16,3
2023-10-14,Shanghai,hardcourt-outdoor,"Hurkacz, Hubert",9,3730,"Korda, Sebastian",27,1525,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",14,2,0,40,47,8,67,6,16,10,17,46,0,4,12,3,9,0,0,32,43,4,53,4,14,7,21,36,0,0,7,1
2023-10-14,Shanghai,hardcourt-outdoor,"Dimitrov, Grigor",10,3605,"Rublev, Andrey",6,4740,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]",0,2,3,27,43,5,67,14,25,7,30,41,0,6,9,2,9,3,1,40,56,7,80,10,19,9,26,50,1,4,13,5
2023-10-13,Shanghai,hardcourt-outdoor,"Dimitrov, Grigor",10,3605,"Jarry, Nicolas",24,1675,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",11,1,1,45,56,6,66,4,5,11,13,49,1,5,13,3,13,0,0,46,60,6,60,1,4,10,17,47,0,0,10,1
2023-10-13,Shanghai,hardcourt-outdoor,"Humbert, Ugo",15,2455,"Rublev, Andrey",6,4740,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]], [[1, 0], [1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]",2,1,1,21,40,4,51,14,30,4,36,35,0,4,5,2,2,5,0,23,32,6,71,12,19,7,16,35,0,10,12,5
2023-10-12,Shanghai,hardcourt-outdoor,"Marozsan, Fabian",36,1179,"Hurkacz, Hubert",9,3730,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [4, 4], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[1, 0], [1, 1], [1, 2]]",4,2,0,30,49,8,68,15,33,8,37,45,0,4,10,3,18,5,1,41,50,11,88,10,23,11,23,51,0,11,16,5
2023-10-12,Shanghai,hardcourt-outdoor,"Shelton, Ben",14,2460,"Korda, Sebastian",27,1525,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [1, 5], [2, 5], [2, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]",17,3,5,53,75,7,106,18,39,11,48,71,1,7,15,3,5,5,2,44,66,8,118,26,37,13,35,70,1,16,19,3
2023-10-11,Shanghai,hardcourt-outdoor,"Jarry, Nicolas",24,1675,"Schwartzman, Diego S.",142,439,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [1, 1], [2, 1]]",15,3,0,42,53,8,98,19,28,14,20,61,0,7,17,3,3,1,3,45,72,6,79,14,21,12,37,59,0,4,13,3
2023-10-11,Shanghai,hardcourt-outdoor,"Humbert, Ugo",15,2455,"Wolf, Jeffrey John",101,605,3,"[[[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [5, 1], [6, 1]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",6,4,0,23,25,12,56,9,10,8,3,32,0,6,12,5,0,0,4,12,22,3,20,5,15,3,24,17,0,0,3,1
2023-10-11,Shanghai,hardcourt-outdoor,"Alcaraz, Carlos",3,7345,"Dimitrov, Grigor",10,3605,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [2, 6]], [[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]]]","[[1, 0], [1, 1], [1, 2]]",4,2,0,38,55,5,80,14,23,11,26,52,0,5,13,4,10,4,4,46,63,5,84,12,19,13,28,58,0,5,17,3
2023-10-11,Shanghai,hardcourt-outdoor,"Paul, Tommy",16,2300,"Rublev, Andrey",6,4740,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [0, 2]]",6,1,0,30,49,4,59,16,28,9,31,46,0,1,10,2,4,3,1,29,36,6,76,16,21,11,13,45,0,6,14,3
2023-10-10,Shanghai,hardcourt-outdoor,"Ruud, Casper",7,4535,"Marozsan, Fabian",36,1179,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [1, 1], [1, 2]]",14,3,3,60,82,6,117,17,38,13,46,77,0,11,16,3,6,2,1,58,80,6,119,15,32,13,40,73,1,14,16,3
2023-10-10,Shanghai,hardcourt-outdoor,"Cerundolo, Francisco",22,1870,"Korda, Sebastian",27,1525,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]]]","[[0, 1], [0, 2]]",5,1,1,40,52,5,66,7,16,10,21,47,0,4,11,3,7,2,0,40,49,8,76,15,25,11,19,55,1,2,14,3
2023-10-10,Shanghai,hardcourt-outdoor,"Sinner, Jannik",2,8860,"Shelton, Ben",14,2460,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]",8,2,1,49,71,5,97,14,25,13,34,63,0,5,15,3,15,1,4,54,74,7,101,13,23,13,34,67,1,10,15,3
2023-10-10,Shanghai,hardcourt-outdoor,"Hurkacz, Hubert",9,3730,"Zhang, Zhizhen",56,868,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [0, 2], [0, 3], [1, 3], [2, 3], [3, 3], [3, 4], [3, 5], [4, 5], [4, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]",16,2,0,57,67,7,113,15,27,14,22,72,2,4,18,3,5,3,2,58,83,5,99,19,33,15,41,77,0,6,18,3
2023-10-09,Shanghai,hardcourt-outdoor,"Dimitrov, Grigor",10,3605,"Khachanov, Karen",18,2000,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",9,1,1,42,53,6,77,10,16,11,18,52,1,6,13,3,4,0,3,45,59,5,68,5,13,10,25,50,0,2,10,1
2023-10-09,Shanghai,hardcourt-outdoor,"Paul, Tommy",16,2300,"Fils, Arthur",34,1251,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[0, 1], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]]]","[[1, 0], [1, 1], [2, 1]]",6,3,4,42,58,6,107,28,37,15,29,70,0,8,18,2,5,1,4,51,70,5,98,18,32,13,37,69,1,4,15,2
2023-10-09,Shanghai,hardcourt-outdoor,"Schwartzman, Diego S.",142,439,"Fritz, Taylor",13,2870,3,"[[[1, 0], [2, 0], [3, 0], [4, 0], [4, 1], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]",3,3,1,50,73,9,98,9,16,12,31,59,1,9,16,4,17,3,2,58,85,8,99,10,20,13,39,68,0,4,16,3
2023-10-09,Shanghai,hardcourt-outdoor,"Mannarino, Adrian",21,1875,"Rublev, Andrey",6,4740,3,"[[[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6]]]","[[0, 1], [0, 2]]",3,0,0,15,29,3,34,4,11,3,21,19,0,2,3,1,6,4,0,28,36,7,57,8,15,8,15,36,0,5,12,7
2023-10-09,Shanghai,hardcourt-outdoor,"Sonego, Lorenzo",47,996,"Jarry, Nicolas",24,1675,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [0, 2]]",2,0,1,28,46,5,56,13,17,8,23,41,0,1,8,1,6,2,1,31,36,6,69,15,24,10,15,46,1,7,13,3
2023-10-09,Shanghai,hardcourt-outdoor,"Alcaraz, Carlos",3,7345,"Evans, Daniel",67,806,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",6,3,0,35,49,6,94,10,16,9,20,45,1,15,13,3,2,2,4,45,67,8,78,13,36,8,49,58,0,6,10,3
2023-10-09,Shanghai,hardcourt-outdoor,"Arnaldi, Matteo",37,1160,"Wolf, Jeffrey John",101,605,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]], [[1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]]]","[[1, 0], [1, 1], [1, 2]]",8,3,6,52,76,8,109,18,37,12,49,70,0,10,15,5,3,3,2,37,53,7,111,25,46,11,39,62,1,15,15,4
2023-10-09,Shanghai,hardcourt-outdoor,"Tsitsipas, Stefanos",8,3860,"Humbert, Ugo",15,2455,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [1, 1], [1, 2]]",7,2,1,47,59,5,85,13,23,13,23,60,0,8,15,3,8,3,1,46,55,8,83,14,29,13,25,60,0,6,16,3
2023-10-08,Shanghai,hardcourt-outdoor,"Fils, Arthur",34,1251,"Davidovich Fokina, Alejandro",33,1315,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [5, 4], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]",7,4,3,35,49,8,65,3,3,9,17,38,0,6,13,3,2,1,0,35,59,12,55,3,6,6,27,38,0,2,7,3
2023-10-08,Shanghai,hardcourt-outdoor,"Ruud, Casper",7,4535,"Eubanks, Christopher",43,1053,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",1,3,2,27,32,9,60,10,12,9,9,37,0,7,12,5,8,0,1,21,35,4,41,11,19,6,23,32,0,3,6,1
2023-10-08,Shanghai,hardcourt-outdoor,"Dimitrov, Grigor",10,3605,"Vukic, Aleksandar",70,792,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]",5,3,1,30,35,7,69,7,12,9,11,37,0,8,12,3,7,0,1,30,49,6,56,15,27,7,32,45,0,0,7,1
2023-10-08,Shanghai,hardcourt-outdoor,"Korda, Sebastian",27,1525,"Medvedev, Daniil",4,7195,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",4,2,0,41,56,4,69,10,14,10,19,51,1,3,13,5,6,0,4,33,41,4,61,9,15,8,18,42,0,1,8,1
2023-10-08,Shanghai,hardcourt-outdoor,"Zhukayev, Beibit",174,347,"Khachanov, Karen",18,2000,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [0, 2], [0, 3], [1, 3], [1, 4], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [1, 1], [1, 2]]",20,1,4,54,67,8,73,6,19,13,30,60,0,1,14,3,9,2,1,44,52,11,90,16,20,14,13,60,1,4,17,3
2023-10-08,Shanghai,hardcourt-outdoor,"Lehecka, Jiri",23,1695,"Schwartzman, Diego S.",142,439,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[1, 0], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]]","[[0, 1], [1, 1], [1, 2]]",7,2,1,41,65,4,89,20,43,10,48,61,0,8,12,3,1,4,2,43,60,12,103,12,21,11,28,55,0,14,15,4
2023-10-08,Shanghai,hardcourt-outdoor,"Halys, Quentin",188,321,"Rublev, Andrey",6,4740,3,"[[[1, 0], [1, 1], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]]]","[[0, 1], [0, 2]]",17,0,5,32,41,6,52,9,19,9,24,41,0,0,9,1,14,2,1,35,38,8,68,9,16,11,11,44,0,4,13,3
2023-10-08,Shanghai,hardcourt-outdoor,"Hurkacz, Hubert",9,3730,"Hsu, Yu Hsiou",235,256,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",12,2,0,35,47,10,73,8,15,10,19,43,0,5,12,3,3,0,0,34,55,4,63,10,19,8,30,44,0,4,8,1
2023-10-08,Shanghai,hardcourt-outdoor,"Shelton, Ben",14,2460,"Safiullin, Roman",39,1138,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[0, 1], [1, 1], [2, 1]]",5,2,3,49,61,8,93,13,22,13,24,62,0,10,15,3,4,1,3,38,54,4,84,22,34,12,31,60,0,6,13,3
2023-10-08,Shanghai,hardcourt-outdoor,"Lajovic, Dusan",64,811,"Marozsan, Fabian",36,1179,3,"[[[0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 5], [2, 5], [3, 5], [3, 6]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [0, 2]]",3,1,2,28,51,5,48,5,13,5,33,33,0,3,6,3,6,4,2,28,39,8,67,6,8,8,15,34,0,14,12,5
2023-10-08,Shanghai,hardcourt-outdoor,"Mannarino, Adrian",21,1875,"Tseng, Chun Hsin",248,237,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",6,4,2,27,34,5,67,9,18,8,18,36,0,9,12,5,5,0,2,24,44,5,49,7,16,4,31,31,0,3,4,1
2023-10-08,Shanghai,hardcourt-outdoor,"Fucsovics, Marton",50,957,"Cerundolo, Francisco",22,1870,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [3, 4], [4, 4], [4, 5], [4, 6]], [[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]]]","[[1, 0], [1, 1], [1, 2]]",3,3,0,46,64,7,88,9,20,12,29,55,0,5,15,3,2,4,4,50,68,9,89,10,21,12,33,60,0,6,16,3
2023-10-08,Shanghai,hardcourt-outdoor,"Sinner, Jannik",2,8860,"Baez, Sebastian",19,1960,3,"[[[0, 1], [1, 1], [1, 2], [1, 3], [1, 4], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[0, 1], [1, 1], [2, 1]]",8,3,0,40,49,6,85,18,28,12,27,58,0,4,15,3,5,1,1,36,52,5,72,9,14,10,27,45,0,4,11,3
2023-10-08,Shanghai,hardcourt-outdoor,"Zhang, Zhizhen",56,868,"Nakashima, Brandon",72,760,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",3,2,0,37,47,11,65,9,14,10,15,46,1,3,13,4,5,0,1,29,39,5,52,8,16,8,19,37,0,1,8,1
2023-10-07,Shanghai,hardcourt-outdoor,"Tsitsipas, Stefanos",8,3860,"Hijikata, Rinky",79,724,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [4, 4], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]]]","[[1, 0], [2, 0]]",4,4,1,31,41,10,63,4,7,8,14,35,0,9,12,5,3,1,1,25,48,6,43,4,8,5,28,29,0,5,6,2
2023-10-07,Shanghai,hardcourt-outdoor,"Paul, Tommy",16,2300,"Ofner, Sebastian",46,1036,3,"[[[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [6, 3]], [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0]]]","[[1, 0], [2, 0]]",4,5,1,28,35,6,59,0,0,7,7,28,0,6,12,8,0,0,2,28,57,4,35,0,0,3,31,28,0,0,3,1
2023-10-07,Shanghai,hardcourt-outdoor,"Wolf, Jeffrey John",101,605,"Norrie, Cameron",30,1350,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [2, 5], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [6, 5], [6, 6], [7, 6]]]","[[1, 0], [1, 1], [2, 1]]",13,5,4,45,68,6,112,20,37,12,44,65,1,19,18,4,4,4,1,44,76,7,107,19,33,12,47,63,0,11,16,4
2023-10-07,Shanghai,hardcourt-outdoor,"Struff, Jan-Lennard",41,1120,"Arnaldi, Matteo",37,1160,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [3, 5], [3, 6]], [[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6]]]","[[0, 1], [1, 1], [1, 2]]",6,3,3,50,80,7,82,0,1,10,34,50,0,11,13,3,8,4,2,60,89,9,94,0,1,11,32,60,0,9,15,3
