RankNo,Name,Points,Movement,PlayerId,Year,courtType,Age,HeightCm,WeightKg,PlayHand,SglHiRank,SglCareerWon,SglCareerLost,SglYtdWon,SglYtdLost,SglHiRankDate,FirstServePercentage,FirstServePointsWonPercentage,SecondServePointsWonPercentage,BreakPointsSavedPercentage,ServiceGamesWonPercentage,ServicePointsWonPercentage,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,BreakPointsConvertedPercentage,ReturnGamesWonPercentage,ReturnPointsWonPercentage,TotalPointsWonPercentage
1,Jannik Sinner,"9,890",0,S0AG,2022,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,57,76,60,65,88,69,29,50,34,20,37,52
1,Jannik Sinner,"9,890",0,S0AG,2022,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,57,73,53,65,83,64,34,56,44,32,42,53
1,Jannik Sinner,"9,890",0,S0AG,2022,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,59,75,52,61,82,65,32,52,41,26,40,53
1,Jannik Sinner,"9,890",0,S0AG,2022,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,58,74,53,63,83,66,32,53,41,27,40,53
1,Jannik Sinner,"9,890",0,S0AG,2023,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,58,80,59,73,91,71,31,52,30,24,39,54
1,Jannik Sinner,"9,890",0,S0AG,2023,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,58,71,57,65,81,65,37,57,50,38,45,55
1,Jannik Sinner,"9,890",0,S0AG,2023,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,61,77,56,70,88,68,32,54,44,29,41,54
1,Jannik Sinner,"9,890",0,S0AG,2023,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,76,57,69,87,68,33,54,42,29,41,54
1,Jannik Sinner,"9,890",0,S0AG,2024,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,66,83,59,78,97,74,28,51,24,15,36,53
1,Jannik Sinner,"9,890",0,S0AG,2024,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,62,79,54,69,88,69,35,54,48,33,43,55
1,Jannik Sinner,"9,890",0,S0AG,2024,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,62,79,60,80,94,72,33,57,45,31,41,56
1,Jannik Sinner,"9,890",0,S0AG,2024,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,63,79,58,76,92,71,33,55,43,29,41,55
1,Jannik Sinner,"9,890",0,S0AG,all,Grass,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,59,78,57,65,88,69,29,51,32,21,38,52
1,Jannik Sinner,"9,890",0,S0AG,all,Clay,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,71,53,62,80,64,35,54,47,32,42,53
1,Jannik Sinner,"9,890",0,S0AG,all,Hard,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,75,54,69,86,67,32,53,42,27,40,53
1,Jannik Sinner,"9,890",0,S0AG,all,all,22,188,76,R,1,228,77,38,3,2024-06-10T00:00:00,60,74,54,66,84,66,32,53,43,27,40,53
2,Novak Djokovic,"8,360",1,D643,2022,Grass,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,63,82,57,65,90,73,32,57,40,29,42,56
2,Novak Djokovic,"8,360",1,D643,2022,Clay,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,66,71,54,66,82,65,35,55,41,31,42,54
2,Novak Djokovic,"8,360",1,D643,2022,Hard,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,67,81,58,59,91,74,31,56,45,26,40,56
2,Novak Djokovic,"8,360",1,D643,2022,all,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,66,77,56,64,88,70,33,56,43,29,41,55
2,Novak Djokovic,"8,360",1,D643,2023,Grass,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,65,78,61,79,94,72,26,51,33,19,35,54
2,Novak Djokovic,"8,360",1,D643,2023,Clay,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,67,72,53,63,81,66,40,52,44,34,44,55
2,Novak Djokovic,"8,360",1,D643,2023,Hard,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,62,79,59,67,90,71,32,56,44,29,40,55
2,Novak Djokovic,"8,360",1,D643,2023,all,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,64,76,58,67,88,70,33,54,42,29,41,55
2,Novak Djokovic,"8,360",1,D643,2024,Grass,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,,,,,,,,,,,,
2,Novak Djokovic,"8,360",1,D643,2024,Clay,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,65,71,54,63,80,65,39,52,50,38,44,55
2,Novak Djokovic,"8,360",1,D643,2024,Hard,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,63,77,55,65,87,69,29,57,40,26,39,54
2,Novak Djokovic,"8,360",1,D643,2024,all,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,64,74,55,64,83,67,34,54,46,32,42,54
2,Novak Djokovic,"8,360",1,D643,all,Grass,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,66,78,56,69,90,70,31,53,40,26,39,54
2,Novak Djokovic,"8,360",1,D643,all,Clay,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,66,71,54,63,82,65,37,55,45,35,44,54
2,Novak Djokovic,"8,360",1,D643,all,Hard,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,64,75,56,66,87,68,33,56,45,32,42,55
2,Novak Djokovic,"8,360",1,D643,all,all,37,188,77,R,1,1105,219,18,6,2011-07-04T00:00:00,65,74,56,65,86,68,34,55,44,32,42,54
3,Carlos Alcaraz,"8,130",-1,A0E2,2022,Grass,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,64,76,59,74,90,69,27,49,22,15,36,52
3,Carlos Alcaraz,"8,130",-1,A0E2,2022,Clay,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,64,72,55,61,84,66,35,54,41,33,42,54
3,Carlos Alcaraz,"8,130",-1,A0E2,2022,Hard,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,67,71,55,68,84,66,34,54,43,32,41,53
3,Carlos Alcaraz,"8,130",-1,A0E2,2022,all,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,66,72,55,65,84,66,34,53,40,31,41,53
3,Carlos Alcaraz,"8,130",-1,A0E2,2023,Grass,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,64,76,55,73,90,69,34,52,35,27,40,54
3,Carlos Alcaraz,"8,130",-1,A0E2,2023,Clay,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,67,70,56,63,83,65,39,55,48,40,45,55
3,Carlos Alcaraz,"8,130",-1,A0E2,2023,Hard,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,65,73,58,63,85,67,33,53,35,27,41,53
3,Carlos Alcaraz,"8,130",-1,A0E2,2023,all,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,66,72,56,65,85,67,35,54,40,32,42,54
3,Carlos Alcaraz,"8,130",-1,A0E2,2024,Grass,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,63,77,56,75,90,69,29,43,44,20,35,53
3,Carlos Alcaraz,"8,130",-1,A0E2,2024,Clay,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,68,68,55,64,80,64,36,59,46,37,45,54
3,Carlos Alcaraz,"8,130",-1,A0E2,2024,Hard,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,66,76,59,60,89,70,37,56,45,34,43,56
3,Carlos Alcaraz,"8,130",-1,A0E2,2024,all,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,67,72,57,63,85,67,36,57,45,35,44,55
3,Carlos Alcaraz,"8,130",-1,A0E2,all,Grass,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,64,75,54,71,87,67,32,51,34,24,39,53
3,Carlos Alcaraz,"8,130",-1,A0E2,all,Clay,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,66,69,54,61,81,64,37,55,44,36,44,54
3,Carlos Alcaraz,"8,130",-1,A0E2,all,Hard,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,65,72,57,64,84,66,33,54,40,29,41,53
3,Carlos Alcaraz,"8,130",-1,A0E2,all,all,21,183,74,R,1,181,49,26,6,2022-09-12T00:00:00,65,71,55,63,83,66,35,54,41,32,42,53
4,Alexander Zverev,"6,905",0,Z355,2022,Grass,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,,,,,,,,,,,,
4,Alexander Zverev,"6,905",0,Z355,2022,Clay,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,69,71,47,58,80,64,35,51,46,28,41,52
4,Alexander Zverev,"6,905",0,Z355,2022,Hard,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,72,78,48,65,88,70,31,49,45,25,38,53
4,Alexander Zverev,"6,905",0,Z355,2022,all,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,70,74,48,61,83,66,33,50,46,26,39,53
4,Alexander Zverev,"6,905",0,Z355,2023,Grass,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,69,80,57,83,96,73,21,49,36,14,32,52
4,Alexander Zverev,"6,905",0,Z355,2023,Clay,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,68,74,46,65,82,65,33,57,43,32,42,53
4,Alexander Zverev,"6,905",0,Z355,2023,Hard,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,72,73,50,61,84,67,28,50,32,20,36,51
4,Alexander Zverev,"6,905",0,Z355,2023,all,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,71,74,50,64,85,67,29,52,37,23,38,52
4,Alexander Zverev,"6,905",0,Z355,2024,Grass,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,70,83,59,80,98,76,21,48,22,10,31,53
4,Alexander Zverev,"6,905",0,Z355,2024,Clay,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,73,75,51,60,86,68,31,53,35,26,40,53
4,Alexander Zverev,"6,905",0,Z355,2024,Hard,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,74,75,56,72,90,70,29,48,40,19,36,53
4,Alexander Zverev,"6,905",0,Z355,2024,all,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,73,75,55,67,89,70,29,50,36,21,37,53
4,Alexander Zverev,"6,905",0,Z355,all,Grass,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,66,78,50,63,87,69,27,50,41,20,35,52
4,Alexander Zverev,"6,905",0,Z355,all,Clay,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,66,72,49,58,80,64,34,52,43,29,41,52
4,Alexander Zverev,"6,905",0,Z355,all,Hard,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,67,75,50,63,84,67,29,51,40,23,37,52
4,Alexander Zverev,"6,905",0,Z355,all,all,27,198,90,R,2,431,188,37,11,2022-06-13T00:00:00,67,74,50,61,83,66,30,51,41,25,38,52
5,Daniil Medvedev,"6,445",0,MM58,2022,Grass,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,65,75,45,71,84,64,29,52,48,22,37,51
5,Daniil Medvedev,"6,445",0,MM58,2022,Clay,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,63,71,47,58,79,62,35,56,48,34,42,52
5,Daniil Medvedev,"6,445",0,MM58,2022,Hard,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,64,77,52,68,88,68,32,54,41,27,40,54
5,Daniil Medvedev,"6,445",0,MM58,2022,all,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,64,76,51,68,86,67,32,54,42,27,40,53
5,Daniil Medvedev,"6,445",0,MM58,2023,Grass,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,67,76,47,61,84,67,30,51,43,23,38,52
5,Daniil Medvedev,"6,445",0,MM58,2023,Clay,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,61,72,48,58,79,63,36,52,47,33,42,53
5,Daniil Medvedev,"6,445",0,MM58,2023,Hard,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,64,76,51,70,86,67,34,55,47,33,42,54
5,Daniil Medvedev,"6,445",0,MM58,2023,all,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,64,75,50,67,85,66,34,54,46,31,41,54
5,Daniil Medvedev,"6,445",0,MM58,2024,Grass,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,62,79,50,73,88,68,27,54,56,19,35,51
5,Daniil Medvedev,"6,445",0,MM58,2024,Clay,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,61,71,47,57,75,62,34,50,47,26,40,51
5,Daniil Medvedev,"6,445",0,MM58,2024,Hard,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,62,72,50,61,80,64,33,54,44,30,40,52
5,Daniil Medvedev,"6,445",0,MM58,2024,all,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,61,72,49,60,79,63,33,53,45,28,40,52
5,Daniil Medvedev,"6,445",0,MM58,all,Grass,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,63,76,50,63,85,66,28,54,43,23,37,52
5,Daniil Medvedev,"6,445",0,MM58,all,Clay,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,59,70,50,57,76,62,33,50,41,27,40,51
5,Daniil Medvedev,"6,445",0,MM58,all,Hard,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,62,76,52,65,85,67,31,54,43,28,40,53
5,Daniil Medvedev,"6,445",0,MM58,all,all,28,198,83,R,1,361,145,28,9,2022-02-28T00:00:00,61,75,52,63,83,66,31,54,43,27,40,53
6,Andrey Rublev,"4,420",0,RE44,2022,Grass,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,80,27,57,73,60,19,45,33,18,31,45
6,Andrey Rublev,"4,420",0,RE44,2022,Clay,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,60,74,51,66,82,65,34,49,40,24,39,52
6,Andrey Rublev,"4,420",0,RE44,2022,Hard,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,62,78,52,62,86,68,28,53,39,24,38,52
6,Andrey Rublev,"4,420",0,RE44,2022,all,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,62,77,51,64,85,67,30,51,39,24,38,52
6,Andrey Rublev,"4,420",0,RE44,2023,Grass,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,62,78,51,63,87,68,27,51,41,23,36,52
6,Andrey Rublev,"4,420",0,RE44,2023,Clay,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,59,74,53,66,84,65,34,56,39,30,42,53
6,Andrey Rublev,"4,420",0,RE44,2023,Hard,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,63,76,50,62,84,66,29,51,39,22,37,51
6,Andrey Rublev,"4,420",0,RE44,2023,all,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,75,51,63,84,66,30,52,39,24,38,52
6,Andrey Rublev,"4,420",0,RE44,2024,Grass,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,70,69,38,67,82,60,23,47,50,9,34,47
6,Andrey Rublev,"4,420",0,RE44,2024,Clay,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,77,53,73,86,67,32,50,36,23,39,53
6,Andrey Rublev,"4,420",0,RE44,2024,Hard,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,64,76,59,74,91,70,27,53,31,17,37,53
6,Andrey Rublev,"4,420",0,RE44,2024,all,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,63,76,56,73,89,69,29,52,33,19,37,53
6,Andrey Rublev,"4,420",0,RE44,all,Grass,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,74,53,58,84,66,28,53,39,22,37,51
6,Andrey Rublev,"4,420",0,RE44,all,Clay,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,73,52,63,81,65,33,52,41,26,40,52
6,Andrey Rublev,"4,420",0,RE44,all,Hard,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,76,51,64,83,66,29,53,39,23,38,52
6,Andrey Rublev,"4,420",0,RE44,all,all,26,188,75,R,5,316,169,24,11,2021-09-13T00:00:00,61,75,51,63,83,66,30,53,40,24,39,52
7,Hubert Hurkacz,"4,235",2,HB71,2022,Grass,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,61,79,57,57,91,70,24,45,34,13,32,51
7,Hubert Hurkacz,"4,235",2,HB71,2022,Clay,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,60,76,60,67,89,69,32,46,41,22,37,53
7,Hubert Hurkacz,"4,235",2,HB71,2022,Hard,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,65,79,53,73,91,70,26,49,37,17,35,52
7,Hubert Hurkacz,"4,235",2,HB71,2022,all,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,63,78,55,70,91,70,27,48,38,18,35,52
7,Hubert Hurkacz,"4,235",2,HB71,2023,Grass,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,68,81,55,80,96,73,25,44,33,12,31,52
7,Hubert Hurkacz,"4,235",2,HB71,2023,Clay,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,57,79,47,52,82,66,27,47,30,16,35,50
7,Hubert Hurkacz,"4,235",2,HB71,2023,Hard,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,65,79,51,65,88,69,28,46,37,17,35,52
7,Hubert Hurkacz,"4,235",2,HB71,2023,all,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,64,80,51,64,88,69,27,46,35,16,34,51
7,Hubert Hurkacz,"4,235",2,HB71,2024,Grass,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,72,82,53,83,96,74,17,47,27,11,29,51
7,Hubert Hurkacz,"4,235",2,HB71,2024,Clay,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,63,75,53,70,87,67,33,46,40,21,38,52
7,Hubert Hurkacz,"4,235",2,HB71,2024,Hard,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,64,80,57,67,92,72,25,48,36,14,33,52
7,Hubert Hurkacz,"4,235",2,HB71,2024,all,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,65,78,55,70,90,70,28,47,37,17,35,52
7,Hubert Hurkacz,"4,235",2,HB71,all,Grass,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,65,79,54,70,91,70,24,47,33,13,33,51
7,Hubert Hurkacz,"4,235",2,HB71,all,Clay,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,60,75,53,62,83,66,30,46,39,19,36,51
7,Hubert Hurkacz,"4,235",2,HB71,all,Hard,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,64,77,52,66,86,68,27,48,37,18,35,51
7,Hubert Hurkacz,"4,235",2,HB71,all,all,27,196,81,R,7,204,136,33,13,2024-06-24T00:00:00,63,77,52,65,86,68,27,47,37,18,35,51
8,Casper Ruud,"4,025",0,RH16,2022,Grass,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,66,71,50,67,81,64,30,51,35,19,37,50
8,Casper Ruud,"4,025",0,RH16,2022,Clay,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,66,74,57,66,86,68,31,51,35,24,39,53
8,Casper Ruud,"4,025",0,RH16,2022,Hard,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,76,54,59,85,68,27,49,41,22,35,52
8,Casper Ruud,"4,025",0,RH16,2022,all,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,75,55,63,85,68,29,50,37,23,37,52
8,Casper Ruud,"4,025",0,RH16,2023,Grass,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,59,74,48,62,80,63,31,46,45,22,37,50
8,Casper Ruud,"4,025",0,RH16,2023,Clay,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,63,70,56,68,84,65,32,52,39,27,40,52
8,Casper Ruud,"4,025",0,RH16,2023,Hard,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,64,72,52,66,83,65,28,50,37,20,36,51
8,Casper Ruud,"4,025",0,RH16,2023,all,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,63,71,54,67,83,65,30,51,39,23,38,51
8,Casper Ruud,"4,025",0,RH16,2024,Grass,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,,,,,,,,,,,,
8,Casper Ruud,"4,025",0,RH16,2024,Clay,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,70,54,60,80,65,36,53,44,33,42,53
8,Casper Ruud,"4,025",0,RH16,2024,Hard,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,66,76,55,73,90,69,26,49,38,21,35,52
8,Casper Ruud,"4,025",0,RH16,2024,all,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,66,73,55,65,85,67,32,51,41,27,39,53
8,Casper Ruud,"4,025",0,RH16,all,Grass,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,75,49,61,82,66,26,48,36,18,34,50
8,Casper Ruud,"4,025",0,RH16,all,Clay,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,71,55,63,83,66,32,52,41,28,40,53
8,Casper Ruud,"4,025",0,RH16,all,Hard,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,73,53,64,84,66,26,49,39,20,35,51
8,Casper Ruud,"4,025",0,RH16,all,all,25,183,81,R,2,246,125,39,10,2022-09-12T00:00:00,65,72,54,64,84,66,29,51,40,24,38,52
9,Alex de Minaur,"3,830",-2,DH58,2022,Grass,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,57,74,54,62,82,65,35,50,43,26,40,52
9,Alex de Minaur,"3,830",-2,DH58,2022,Clay,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,58,64,48,61,70,57,35,57,43,35,43,50
9,Alex de Minaur,"3,830",-2,DH58,2022,Hard,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,61,70,54,64,80,63,31,52,45,27,39,51
9,Alex de Minaur,"3,830",-2,DH58,2022,all,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,60,69,52,63,78,62,33,53,44,29,40,51
9,Alex de Minaur,"3,830",-2,DH58,2023,Grass,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,58,74,59,58,87,68,33,49,32,22,39,53
9,Alex de Minaur,"3,830",-2,DH58,2023,Clay,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,56,70,52,59,76,62,32,49,40,28,39,50
9,Alex de Minaur,"3,830",-2,DH58,2023,Hard,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,56,73,53,59,79,64,34,53,46,31,42,52
9,Alex de Minaur,"3,830",-2,DH58,2023,all,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,56,72,54,59,80,64,34,52,43,29,41,52
9,Alex de Minaur,"3,830",-2,DH58,2024,Grass,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,56,81,48,57,81,66,32,64,37,36,45,54
9,Alex de Minaur,"3,830",-2,DH58,2024,Clay,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,54,69,56,54,76,63,38,54,50,38,44,53
9,Alex de Minaur,"3,830",-2,DH58,2024,Hard,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,55,73,57,66,85,66,33,57,42,30,42,53
9,Alex de Minaur,"3,830",-2,DH58,2024,all,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,55,73,56,60,82,65,34,57,44,34,43,53
9,Alex de Minaur,"3,830",-2,DH58,all,Grass,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,59,73,56,64,84,66,31,51,37,23,38,52
9,Alex de Minaur,"3,830",-2,DH58,all,Clay,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,57,66,51,59,71,59,35,52,42,31,41,50
9,Alex de Minaur,"3,830",-2,DH58,all,Hard,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,59,71,53,61,80,64,31,52,44,27,40,52
9,Alex de Minaur,"3,830",-2,DH58,all,all,25,183,69,R,7,235,146,33,12,2024-06-17T00:00:00,59,71,53,61,79,64,32,52,42,27,40,51
10,Grigor Dimitrov,"3,750",0,D875,2022,Grass,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,70,75,49,69,88,67,21,49,43,18,30,49
10,Grigor Dimitrov,"3,750",0,D875,2022,Clay,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,61,74,51,53,79,65,36,49,43,30,41,52
10,Grigor Dimitrov,"3,750",0,D875,2022,Hard,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,63,75,51,63,84,67,28,50,36,19,36,51
10,Grigor Dimitrov,"3,750",0,D875,2022,all,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,63,75,51,60,82,66,30,50,39,22,37,51
10,Grigor Dimitrov,"3,750",0,D875,2023,Grass,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,59,82,51,71,90,69,33,52,48,31,41,55
10,Grigor Dimitrov,"3,750",0,D875,2023,Clay,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,58,74,48,60,79,64,30,56,41,28,40,52
10,Grigor Dimitrov,"3,750",0,D875,2023,Hard,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,63,76,52,63,85,67,29,49,39,22,37,52
10,Grigor Dimitrov,"3,750",0,D875,2023,all,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,61,77,51,63,84,67,30,51,41,24,38,52
10,Grigor Dimitrov,"3,750",0,D875,2024,Grass,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,60,79,52,79,88,68,26,57,46,27,39,54
10,Grigor Dimitrov,"3,750",0,D875,2024,Clay,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,59,76,53,63,85,67,31,48,37,21,37,52
10,Grigor Dimitrov,"3,750",0,D875,2024,Hard,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,66,80,55,71,90,72,29,51,32,20,37,53
10,Grigor Dimitrov,"3,750",0,D875,2024,all,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,63,79,54,68,88,70,29,50,35,21,37,53
10,Grigor Dimitrov,"3,750",0,D875,all,Grass,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,65,77,52,66,86,68,28,50,37,20,36,52
10,Grigor Dimitrov,"3,750",0,D875,all,Clay,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,62,73,51,60,80,64,32,49,40,25,39,51
10,Grigor Dimitrov,"3,750",0,D875,all,Hard,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,62,75,51,63,83,66,29,50,38,22,37,51
10,Grigor Dimitrov,"3,750",0,D875,all,all,33,191,81,R,3,442,283,29,10,2017-11-20T00:00:00,62,75,51,63,83,66,30,50,39,22,37,51
11,Stefanos Tsitsipas,"3,745",0,TE51,2022,Grass,25,193,90,R,3,329,154,29,11,2021-08-09T00:00:00,59,79,54,72,87,69,26,50,37,18,35,52
11,Stefanos Tsitsipas,"3,745",0,TE51,2022,Clay,25,193,90,R,3,329,154,29,11,2021-08-09T00:00:00,62,74,55,57,84,67,34,54,48,29,40,53
11,Stefanos Tsitsipas,"3,745",0,TE51,2022,Hard,25,193,90,R,3,329,154,29,11,2021-08-09T00:00:00,64,77,56,68,88,69,27,48,39,19,35,52
