rank,name,points,bestPoints,RankingDate
123,Thiago Monteiro,1782,1846,01-08-2022
124,Jurij Rodionov,1780,1790,01-08-2022
125,Nicolas Jarry,1779,1992,01-08-2022
126,Elias Ymer,1779,1817,01-08-2022
127,Ernesto Escobedo,1776,1815,01-08-2022
128,Damir Dzumhur,1767,1994,01-08-2022
129,Andreas Seppi,1766,2030,01-08-2022
130,Dominic Stephan Stricker,1766,1873,01-08-2022
131,Radu Albot,1764,1936,01-08-2022
132,Max Purcell,1763,1834,01-08-2022
133,Gianluca Mager,1763,1817,01-08-2022
134,Henri Laaksonen,1760,1852,01-08-2022
135,Juan Pablo Varillas Patino Samudio,1760,1845,01-08-2022
136,Federico Delbonis,1760,1953,01-08-2022
137,Borna Gojo,1759,1856,01-08-2022
138,Gregoire Barrere,1756,1873,01-08-2022
139,Bjorn Fratangelo,1756,1825,01-08-2022
140,Christopher Oconnell,1752,1854,01-08-2022
141,Aleksandar Vukic,1752,1828,01-08-2022
142,Yosuke Watanuki,1752,1819,01-08-2022
143,Denis Kudla,1750,1855,01-08-2022
144,Alexei Popyrin,1749,1916,01-08-2022
145,Hugo Dellien,1747,1781,01-08-2022
146,Jiri Lehecka,1746,1962,01-08-2022
147,Norbert Gombos,1745,1837,01-08-2022
148,Joao Sousa,1745,1974,01-08-2022
149,Stefan Kozlov,1744,1764,01-08-2022
150,Carlos Taberner,1744,1796,01-08-2022
151,Malek Jaziri,1742,1922,01-08-2022
152,Mikhail Kukushkin,1740,1943,01-08-2022
153,Maximilian Marterer,1739,1888,01-08-2022
154,Antoine Bellier,1733,1743,01-08-2022
155,Facundo Bagnis,1732,1804,01-08-2022
156,Stefano Travaglia,1730,1879,01-08-2022
157,Illya Marchenko,1727,1865,01-08-2022
158,Thiago Seyboth Wild,1725,1804,01-08-2022
159,Marco Trungelliti,1724,1794,01-08-2022
160,Denis Istomin,1721,1987,01-08-2022
161,Christopher Eubanks,1720,1932,01-08-2022
162,Mitchell Krueger,1718,1734,01-08-2022
163,Michael Mmoh,1715,1866,01-08-2022
164,Nikola Milojevic,1714,1736,01-08-2022
165,Juan Ignacio Londero,1712,1901,01-08-2022
166,Christian Harrison,1709,1729,01-08-2022
167,Jozef Kovalik,1706,1806,01-08-2022
168,Evgeny Donskoy,1698,1835,01-08-2022
169,Dennis Novak,1697,1802,01-08-2022
170,Daniel Altmaier,1693,1826,01-08-2022
171,Quentin Halys,1685,1844,01-08-2022
172,Marc Andrea Huesler,1682,1849,01-08-2022
173,Pedro Cachin,1681,1870,01-08-2022
174,Feliciano Lopez,1662,2074,01-08-2022
175,Ramkumar Ramanathan,1657,1808,01-08-2022
176,Benoit Paire,1643,2003,01-08-2022
177,Salvatore Caruso,1641,1819,01-08-2022
178,Emilio Gomez,1623,1744,01-08-2022
179,Jay Clarke,1580,1637,01-08-2022
180,Viktor Durasovic,1569,1640,01-08-2022
181,Tomas Martin Etcheverry,1506,1932,01-08-2022
1,Rafael Nadal,2398,2552,25-07-2022
2,Novak Djokovic,2390,2629,25-07-2022
3,Alexander Zverev,2242,2303,25-07-2022
4,Daniil Medvedev,2228,2316,25-07-2022
5,Carlos Alcaraz Garfia,2195,2344,25-07-2022
6,Stefanos Tsitsipas,2175,2258,25-07-2022
7,Matteo Berrettini,2162,2173,25-07-2022
8,Jannik Sinner,2149,2256,25-07-2022
9,Casper Ruud,2136,2163,25-07-2022
10,Nick Kyrgios,2130,2176,25-07-2022
11,Andrey Rublev,2107,2227,25-07-2022
12,Hubert Hurkacz,2081,2099,25-07-2022
13,Cameron Norrie,2080,2105,25-07-2022
14,Taylor Fritz,2071,2134,25-07-2022
15,Kei Nishikori,2052,2296,25-07-2022
16,Felix Auger Aliassime,2052,2140,25-07-2022
17,Andy Murray,2044,2500,25-07-2022
18,Dominic Thiem,2044,2250,25-07-2022
19,Marin Cilic,2033,2232,25-07-2022
20,Gael Monfils,2026,2189,25-07-2022
21,Karen Khachanov,2015,2137,25-07-2022
22,Grigor Dimitrov,2008,2203,25-07-2022
23,Roberto Bautista Agut,2007,2135,25-07-2022
24,Alex De Minaur,1996,2083,25-07-2022
25,Stan Wawrinka,1991,2291,25-07-2022
26,Diego Sebastian Schwartzman,1989,2097,25-07-2022
27,John Isner,1984,2147,25-07-2022
28,Pablo Carreno Busta,1974,2121,25-07-2022
29,Tommy Paul,1974,2066,25-07-2022
30,David Goffin,1972,2165,25-07-2022
31,Sebastian Korda,1969,2071,25-07-2022
32,Miomir Kecmanovic,1967,1977,25-07-2022
33,Botic Van De Zandschulp,1965,1998,25-07-2022
34,Denis Shapovalov,1964,2075,25-07-2022
35,Ilya Ivashka,1955,1987,25-07-2022
36,Christian Garin,1953,2010,25-07-2022
37,Filip Krajinovic,1953,2033,25-07-2022
38,Reilly Opelka,1951,2033,25-07-2022
39,Frances Tiafoe,1946,2068,25-07-2022
40,Alexander Bublik,1942,1968,25-07-2022
41,Alex Molcan,1941,1941,25-07-2022
42,Borna Coric,1936,2102,25-07-2022
43,Alejandro Davidovich Fokina,1935,1998,25-07-2022
44,Lorenzo Musetti,1934,1999,25-07-2022
45,Kevin Anderson,1932,2181,25-07-2022
46,Francisco Cerundolo,1930,2014,25-07-2022
47,Jenson Brooksby,1925,1984,25-07-2022
48,Brandon Nakashima,1923,1958,25-07-2022
49,Maxime Cressy,1921,1928,25-07-2022
50,Jeremy Chardy,1921,2016,25-07-2022
51,Oscar Otte,1917,1917,25-07-2022
52,Richard Gasquet,1915,2196,25-07-2022
53,Sebastian Baez,1911,1944,25-07-2022
54,Marton Fucsovics,1908,2018,25-07-2022
55,Thanasi Kokkinakis,1906,1914,25-07-2022
56,Mackenzie Mcdonald,1902,1944,25-07-2022
57,Daniel Evans,1896,2002,25-07-2022
58,Fabio Fognini,1893,2112,25-07-2022
59,Aslan Karatsev,1893,1998,25-07-2022
60,Emil Ruusuvuori,1892,1963,25-07-2022
61,Steve Johnson,1891,2042,25-07-2022
62,Marcos Giron,1884,1934,25-07-2022
63,Lorenzo Sonego,1883,1996,25-07-2022
64,Lloyd George Muirhead Harris,1882,1988,25-07-2022
65,Vasek Pospisil,1880,1987,25-07-2022
66,Holger Vitus Nodskov Rune,1880,2146,25-07-2022
67,Mikael Ymer,1880,1938,25-07-2022
68,Nikoloz Basilashvili,1878,1990,25-07-2022
69,Jack Sock,1876,2144,25-07-2022
70,Jo Wilfried Tsonga,1873,2244,25-07-2022
71,Adrian Mannarino,1871,2004,25-07-2022
72,Corentin Moutet,1868,1921,25-07-2022
73,Ugo Humbert,1865,2002,25-07-2022
74,Laslo Djere,1864,1945,25-07-2022
75,Benjamin Bonzi,1861,1893,25-07-2022
76,Pedro Martinez Portero,1861,1926,25-07-2022
77,Albert Ramos,1861,2014,25-07-2022
78,Hugo Gaston,1859,1891,25-07-2022
79,Tim Van Rijthoven,1854,1870,25-07-2022
80,Philipp Kohlschreiber,1848,2117,25-07-2022
81,Arthur Rinderknech,1843,1909,25-07-2022
82,Tallon Griekspoor,1842,1961,25-07-2022
83,Jason Kubler,1842,1880,25-07-2022
84,Guido Pella,1838,2009,25-07-2022
85,Pierre Hugues Herbert,1838,1989,25-07-2022
86,Soon Woo Kwon,1836,1929,25-07-2022
87,Jack Draper,1835,1977,25-07-2022
88,Daniel Elahi Galan Riveros,1834,1871,25-07-2022
89,Ricardas Berankis,1832,1914,25-07-2022
90,Jan Lennard Struff,1831,2037,25-07-2022
91,Jiri Vesely,1831,1952,25-07-2022
92,Aljaz Bedene,1830,1939,25-07-2022
93,John Millman,1830,1954,25-07-2022
94,Dominik Koepfer,1829,1920,25-07-2022
95,Jaume Munar,1829,1866,25-07-2022
96,Alejandro Tabilo,1826,1834,25-07-2022
97,Gilles Simon,1826,2124,25-07-2022
98,Jeffrey John Wolf,1822,1926,25-07-2022
99,Jordan Thompson,1818,1908,25-07-2022
100,Egor Gerasimov,1814,1932,25-07-2022
101,Roman Safiullin,1811,1940,25-07-2022
102,Sam Querrey,1811,2068,25-07-2022
103,Yannick Hanfmann,1810,1920,25-07-2022
104,Lucas Pouille,1808,2069,25-07-2022
105,Fernando Verdasco,1807,2204,25-07-2022
106,Tomas Machac,1804,1806,25-07-2022
107,Federico Coria,1801,1839,25-07-2022
108,Dusan Lajovic,1800,1962,25-07-2022
109,Alex Bolt,1800,1846,25-07-2022
110,Thiago Monteiro,1799,1846,25-07-2022
111,Yoshihito Nishioka,1798,1977,25-07-2022
112,Peter Gojowczyk,1797,1935,25-07-2022
113,James Duckworth,1797,1887,25-07-2022
114,Pablo Cuevas,1796,2004,25-07-2022
115,Bernabe Zapata Miralles,1795,1876,25-07-2022
116,Juan Manuel Cerundolo,1795,1807,25-07-2022
117,Kamil Majchrzak,1791,1810,25-07-2022
118,Nicolas Jarry,1790,1992,25-07-2022
119,Pablo Andujar,1789,1929,25-07-2022
120,Tennys Sandgren,1786,1940,25-07-2022
121,Liam Broady,1783,1822,25-07-2022
122,Sebastian Ofner,1783,1871,25-07-2022
123,Marco Cecchinato,1782,1953,25-07-2022
124,Taro Daniel,1780,1882,25-07-2022
125,Elias Ymer,1779,1817,25-07-2022
126,Ernesto Escobedo,1777,1815,25-07-2022
127,Federico Delbonis,1777,1953,25-07-2022
128,Henri Laaksonen,1776,1852,25-07-2022
129,Jurij Rodionov,1775,1790,25-07-2022
130,Damir Dzumhur,1767,1994,25-07-2022
131,Andreas Seppi,1766,2030,25-07-2022
132,Dominic Stephan Stricker,1766,1873,25-07-2022
133,Radu Albot,1764,1936,25-07-2022
134,Gianluca Mager,1763,1817,25-07-2022
135,Max Purcell,1763,1834,25-07-2022
136,Alexei Popyrin,1762,1916,25-07-2022
137,Carlos Taberner,1761,1796,25-07-2022
138,Denis Kudla,1760,1855,25-07-2022
139,Borna Gojo,1759,1856,25-07-2022
140,Gregoire Barrere,1756,1873,25-07-2022
141,Bjorn Fratangelo,1756,1825,25-07-2022
142,Juan Pablo Varillas Patino Samudio,1754,1845,25-07-2022
143,Roberto Carballes Baena,1754,1886,25-07-2022
144,Aleksandar Vukic,1752,1828,25-07-2022
145,Christopher Oconnell,1752,1854,25-07-2022
146,Yosuke Watanuki,1752,1819,25-07-2022
147,Andrej Martin,1751,1850,25-07-2022
148,Hugo Dellien,1747,1781,25-07-2022
149,Stefan Kozlov,1744,1764,25-07-2022
150,Joao Sousa,1743,1974,25-07-2022
151,Malek Jaziri,1742,1922,25-07-2022
152,Mikhail Kukushkin,1740,1943,25-07-2022
153,Maximilian Marterer,1739,1888,25-07-2022
154,Antoine Bellier,1733,1743,25-07-2022
155,Stefano Travaglia,1730,1879,25-07-2022
156,Illya Marchenko,1727,1865,25-07-2022
157,Norbert Gombos,1726,1837,25-07-2022
158,Thiago Seyboth Wild,1725,1804,25-07-2022
159,Marco Trungelliti,1724,1794,25-07-2022
160,Denis Istomin,1721,1987,25-07-2022
161,Christopher Eubanks,1720,1932,25-07-2022
162,Mitchell Krueger,1718,1734,25-07-2022
163,Michael Mmoh,1715,1866,25-07-2022
164,Nikola Milojevic,1714,1736,25-07-2022
165,Juan Ignacio Londero,1712,1901,25-07-2022
166,Christian Harrison,1709,1729,25-07-2022
167,Jozef Kovalik,1706,1806,25-07-2022
168,Daniel Altmaier,1705,1826,25-07-2022
169,Jiri Lehecka,1705,1962,25-07-2022
170,Marc Polmans,1700,1739,25-07-2022
171,Evgeny Donskoy,1698,1835,25-07-2022
172,Dennis Novak,1697,1802,25-07-2022
173,Quentin Halys,1694,1844,25-07-2022
174,Renzo Olivo,1691,1805,25-07-2022
175,Facundo Bagnis,1687,1804,25-07-2022
176,Marc Andrea Huesler,1682,1849,25-07-2022
177,Alessandro Giannessi,1664,1776,25-07-2022
178,Feliciano Lopez,1662,2074,25-07-2022
179,Benoit Paire,1654,2003,25-07-2022
180,Salvatore Caruso,1641,1819,25-07-2022
181,Emilio Gomez,1623,1744,25-07-2022
182,Yasutaka Uchiyama,1623,1763,25-07-2022
183,Jay Clarke,1580,1637,25-07-2022
184,Viktor Durasovic,1569,1640,25-07-2022
185,Tomas Martin Etcheverry,1544,1932,25-07-2022
1,Rafael Nadal,2398,2552,18-07-2022
2,Novak Djokovic,2390,2629,18-07-2022
3,Alexander Zverev,2242,2303,18-07-2022
4,Daniil Medvedev,2228,2316,18-07-2022
5,Carlos Alcaraz Garfia,2201,2344,18-07-2022
6,Stefanos Tsitsipas,2175,2258,18-07-2022
7,Matteo Berrettini,2162,2173,18-07-2022
8,Jannik Sinner,2149,2256,18-07-2022
9,Nick Kyrgios,2130,2176,18-07-2022
10,Andrey Rublev,2117,2227,18-07-2022
11,Casper Ruud,2117,2163,18-07-2022
12,Hubert Hurkacz,2081,2099,18-07-2022
13,Cameron Norrie,2080,2105,18-07-2022
14,Taylor Fritz,2071,2134,18-07-2022
15,Kei Nishikori,2053,2296,18-07-2022
16,Felix Auger Aliassime,2052,2140,18-07-2022
17,Andy Murray,2044,2500,18-07-2022
18,Dominic Thiem,2040,2250,18-07-2022
19,Marin Cilic,2033,2232,18-07-2022
20,Gael Monfils,2026,2189,18-07-2022
21,Roberto Bautista Agut,2021,2135,18-07-2022
22,Karen Khachanov,2009,2137,18-07-2022
23,Grigor Dimitrov,2008,2203,18-07-2022
24,Diego Sebastian Schwartzman,2001,2097,18-07-2022
25,Alex De Minaur,1996,2083,18-07-2022
26,Stan Wawrinka,1991,2291,18-07-2022
27,Pablo Carreno Busta,1984,2121,18-07-2022
28,John Isner,1984,2147,18-07-2022
29,Botic Van De Zandschulp,1976,1998,18-07-2022
30,Tommy Paul,1974,2066,18-07-2022
31,David Goffin,1972,2165,18-07-2022
32,Sebastian Korda,1969,2071,18-07-2022
33,Miomir Kecmanovic,1967,1977,18-07-2022
34,Christian Garin,1966,2010,18-07-2022
35,Denis Shapovalov,1964,2075,18-07-2022
36,Ilya Ivashka,1955,1987,18-07-2022
37,Reilly Opelka,1951,2033,18-07-2022
38,Filip Krajinovic,1948,2033,18-07-2022
39,Frances Tiafoe,1946,2068,18-07-2022
40,Alexander Bublik,1942,1968,18-07-2022
41,Kevin Anderson,1933,2181,18-07-2022
42,Alejandro Davidovich Fokina,1932,1998,18-07-2022
43,Borna Coric,1931,2102,18-07-2022
44,Jenson Brooksby,1925,1984,18-07-2022
45,Brandon Nakashima,1923,1958,18-07-2022
46,Jeremy Chardy,1921,2016,18-07-2022
47,Maxime Cressy,1921,1928,18-07-2022
48,Alex Molcan,1921,1941,18-07-2022
49,Sebastian Baez,1920,1944,18-07-2022
50,Oscar Otte,1917,1917,18-07-2022
51,Richard Gasquet,1913,2196,18-07-2022
52,Francisco Cerundolo,1912,2014,18-07-2022
53,Marton Fucsovics,1908,2018,18-07-2022
54,Thanasi Kokkinakis,1906,1914,18-07-2022
55,Mackenzie Mcdonald,1902,1944,18-07-2022
56,Lorenzo Sonego,1899,1996,18-07-2022
57,Daniel Evans,1896,2002,18-07-2022
58,Mikael Ymer,1893,1938,18-07-2022
59,Holger Vitus Nodskov Rune,1892,2146,18-07-2022
60,Fabio Fognini,1891,2112,18-07-2022
61,Steve Johnson,1891,2042,18-07-2022
62,Emil Ruusuvuori,1890,1963,18-07-2022
63,Nikoloz Basilashvili,1889,1990,18-07-2022
64,Marcos Giron,1884,1934,18-07-2022
65,Aslan Karatsev,1883,1998,18-07-2022
66,Lloyd George Muirhead Harris,1882,1988,18-07-2022
67,Vasek Pospisil,1881,1987,18-07-2022
68,Jack Sock,1876,2144,18-07-2022
69,Laslo Djere,1874,1945,18-07-2022
70,Jo Wilfried Tsonga,1873,2244,18-07-2022
71,Adrian Mannarino,1871,2004,18-07-2022
72,Corentin Moutet,1868,1921,18-07-2022
73,Ugo Humbert,1865,2002,18-07-2022
74,Hugo Gaston,1864,1891,18-07-2022
75,Lorenzo Musetti,1863,1999,18-07-2022
76,Benjamin Bonzi,1861,1893,18-07-2022
77,Tim Van Rijthoven,1854,1870,18-07-2022
78,Philipp Kohlschreiber,1848,2117,18-07-2022
79,Pedro Martinez Portero,1846,1926,18-07-2022
80,Albert Ramos,1846,2014,18-07-2022
81,Arthur Rinderknech,1843,1909,18-07-2022
82,Jason Kubler,1842,1880,18-07-2022
83,Aljaz Bedene,1840,1939,18-07-2022
84,Guido Pella,1839,2009,18-07-2022
85,Pierre Hugues Herbert,1838,1989,18-07-2022
86,Jan Lennard Struff,1837,2037,18-07-2022
87,Tallon Griekspoor,1837,1961,18-07-2022
88,Ricardas Berankis,1836,1914,18-07-2022
89,Soon Woo Kwon,1836,1929,18-07-2022
90,Jack Draper,1835,1977,18-07-2022
91,Daniel Elahi Galan Riveros,1832,1871,18-07-2022
92,Jiri Vesely,1831,1952,18-07-2022
93,John Millman,1830,1954,18-07-2022
94,Dominik Koepfer,1829,1920,18-07-2022
95,Alejandro Tabilo,1826,1834,18-07-2022
96,Gilles Simon,1826,2124,18-07-2022
97,Jeffrey John Wolf,1822,1926,18-07-2022
98,Jordan Thompson,1818,1908,18-07-2022
99,Egor Gerasimov,1814,1932,18-07-2022
100,Federico Coria,1814,1839,18-07-2022
101,Thiago Monteiro,1813,1846,18-07-2022
102,Roman Safiullin,1812,1940,18-07-2022
103,Dusan Lajovic,1811,1962,18-07-2022
104,Sam Querrey,1811,2068,18-07-2022
105,Jaume Munar,1810,1866,18-07-2022
106,Lucas Pouille,1808,2069,18-07-2022
107,Bernabe Zapata Miralles,1808,1876,18-07-2022
108,Fernando Verdasco,1807,2204,18-07-2022
109,Yannick Hanfmann,1805,1920,18-07-2022
110,Tomas Machac,1804,1806,18-07-2022
111,Alex Bolt,1800,1846,18-07-2022
112,Yoshihito Nishioka,1798,1977,18-07-2022
113,Peter Gojowczyk,1797,1935,18-07-2022
114,James Duckworth,1797,1887,18-07-2022
115,Pablo Cuevas,1796,2004,18-07-2022
116,Juan Manuel Cerundolo,1795,1807,18-07-2022
117,Kamil Majchrzak,1791,1810,18-07-2022
118,Pablo Andujar,1789,1929,18-07-2022
119,Tennys Sandgren,1786,1940,18-07-2022
120,Liam Broady,1783,1822,18-07-2022
121,Sebastian Ofner,1783,1871,18-07-2022
122,Marco Cecchinato,1783,1953,18-07-2022
123,Taro Daniel,1780,1882,18-07-2022
124,Elias Ymer,1780,1817,18-07-2022
125,Ernesto Escobedo,1777,1815,18-07-2022
126,Henri Laaksonen,1776,1852,18-07-2022
127,Jurij Rodionov,1775,1790,18-07-2022
128,Carlos Taberner,1772,1796,18-07-2022
129,Nicolas Jarry,1769,1992,18-07-2022
130,Cedrik Marcel Stebe,1768,1834,18-07-2022
131,Damir Dzumhur,1767,1994,18-07-2022
132,Andreas Seppi,1766,2030,18-07-2022
133,Ivo Karlovic,1764,2061,18-07-2022
134,Radu Albot,1764,1936,18-07-2022
135,Roberto Carballes Baena,1763,1886,18-07-2022
136,Gianluca Mager,1763,1817,18-07-2022
137,Max Purcell,1763,1834,18-07-2022
138,Alexei Popyrin,1762,1916,18-07-2022
139,Joao Sousa,1760,1974,18-07-2022
140,Federico Delbonis,1760,1953,18-07-2022
141,Denis Kudla,1760,1855,18-07-2022
142,Borna Gojo,1759,1856,18-07-2022
143,Gregoire Barrere,1756,1873,18-07-2022
144,Bjorn Fratangelo,1756,1825,18-07-2022
145,Aleksandar Vukic,1752,1828,18-07-2022
146,Christopher Oconnell,1752,1854,18-07-2022
147,Yosuke Watanuki,1752,1819,18-07-2022
148,Andrej Martin,1751,1850,18-07-2022
149,Hugo Dellien,1747,1781,18-07-2022
150,Stefan Kozlov,1744,1764,18-07-2022
151,Malek Jaziri,1742,1922,18-07-2022
152,Mikhail Kukushkin,1740,1943,18-07-2022
153,Maximilian Marterer,1739,1888,18-07-2022
154,Antoine Bellier,1733,1743,18-07-2022
155,Stefano Travaglia,1730,1879,18-07-2022
156,Illya Marchenko,1727,1865,18-07-2022
157,Norbert Gombos,1726,1837,18-07-2022
158,Thiago Seyboth Wild,1725,1804,18-07-2022
159,Marco Trungelliti,1724,1794,18-07-2022
160,Denis Istomin,1721,1987,18-07-2022
161,Yuichi Sugita,1721,1933,18-07-2022
162,Christopher Eubanks,1720,1932,18-07-2022
163,Mitchell Krueger,1718,1734,18-07-2022
164,Daniel Altmaier,1716,1826,18-07-2022
165,Michael Mmoh,1715,1866,18-07-2022
166,Nikola Milojevic,1715,1736,18-07-2022
167,Juan Ignacio Londero,1712,1901,18-07-2022
168,Christian Harrison,1709,1729,18-07-2022
169,Jozef Kovalik,1704,1806,18-07-2022
170,Marc Andrea Huesler,1701,1849,18-07-2022
171,Marc Polmans,1700,1739,18-07-2022
172,Evgeny Donskoy,1698,1835,18-07-2022
173,Jason Jung,1698,1778,18-07-2022
174,Dennis Novak,1697,1802,18-07-2022
175,Quentin Halys,1694,1844,18-07-2022
176,Jiri Lehecka,1692,1962,18-07-2022
177,Juan Pablo Varillas Patino Samudio,1691,1845,18-07-2022
178,Renzo Olivo,1691,1805,18-07-2022
179,Facundo Bagnis,1687,1804,18-07-2022
180,Sumit Nagal,1682,1706,18-07-2022
181,Benoit Paire,1672,2003,18-07-2022
182,Alessandro Giannessi,1664,1776,18-07-2022
183,Feliciano Lopez,1662,2074,18-07-2022
184,Salvatore Caruso,1641,1819,18-07-2022
185,Emilio Gomez,1623,1744,18-07-2022
186,Yasutaka Uchiyama,1623,1763,18-07-2022
187,Pedro Sousa,1620,1757,18-07-2022
188,Jay Clarke,1580,1637,18-07-2022
189,Tomas Martin Etcheverry,1579,1932,18-07-2022
190,Viktor Durasovic,1570,1640,18-07-2022
1,Rafael Nadal,2398,2552,11-07-2022
2,Novak Djokovic,2390,2629,11-07-2022
3,Alexander Zverev,2242,2303,11-07-2022
4,Roger Federer,2231,2550,11-07-2022
5,Daniil Medvedev,2228,2316,11-07-2022
6,Carlos Alcaraz Garfia,2201,2344,11-07-2022
7,Stefanos Tsitsipas,2175,2258,11-07-2022
8,Matteo Berrettini,2162,2173,11-07-2022
9,Jannik Sinner,2149,2256,11-07-2022
10,Casper Ruud,2130,2163,11-07-2022
11,Nick Kyrgios,2130,2176,11-07-2022
12,Andrey Rublev,2126,2227,11-07-2022
13,Hubert Hurkacz,2081,2099,11-07-2022
14,Cameron Norrie,2080,2105,11-07-2022
15,Taylor Fritz,2071,2134,11-07-2022
16,Felix Auger Aliassime,2065,2140,11-07-2022
17,Kei Nishikori,2054,2296,11-07-2022
18,Andy Murray,2050,2500,11-07-2022
19,Dominic Thiem,2039,2250,11-07-2022
20,Marin Cilic,2033,2232,11-07-2022
21,Roberto Bautista Agut,2030,2135,11-07-2022
22,Gael Monfils,2026,2189,11-07-2022
23,Karen Khachanov,2009,2137,11-07-2022
24,Grigor Dimitrov,2008,2203,11-07-2022
25,Diego Sebastian Schwartzman,2007,2097,11-07-2022
26,Stan Wawrinka,2000,2291,11-07-2022
27,Alex De Minaur,1996,2083,11-07-2022
28,John Isner,1985,2147,11-07-2022
29,Botic Van De Zandschulp,1976,1998,11-07-2022
30,Tommy Paul,1974,2066,11-07-2022
31,David Goffin,1972,2165,11-07-2022
32,Pablo Carreno Busta,1972,2121,11-07-2022
33,Sebastian Korda,1969,2071,11-07-2022
34,Miomir Kecmanovic,1967,1977,11-07-2022
35,Christian Garin,1966,2010,11-07-2022
36,Denis Shapovalov,1964,2075,11-07-2022
37,Ilya Ivashka,1955,1987,11-07-2022
38,Reilly Opelka,1951,2033,11-07-2022
39,Filip Krajinovic,1948,2033,11-07-2022
40,Frances Tiafoe,1946,2068,11-07-2022
41,Alejandro Davidovich Fokina,1937,1998,11-07-2022
42,Kevin Anderson,1933,2181,11-07-2022
43,Borna Coric,1932,2102,11-07-2022
44,Alexander Bublik,1926,1968,11-07-2022
45,Jenson Brooksby,1925,1984,11-07-2022
46,Brandon Nakashima,1923,1958,11-07-2022
47,Jeremy Chardy,1922,2016,11-07-2022
48,Alex Molcan,1921,1941,11-07-2022
49,Oscar Otte,1917,1917,11-07-2022
50,Richard Gasquet,1913,2196,11-07-2022
51,Lorenzo Sonego,1909,1996,11-07-2022
52,Marton Fucsovics,1908,2018,11-07-2022
53,Holger Vitus Nodskov Rune,1908,2146,11-07-2022
54,Thanasi Kokkinakis,1906,1914,11-07-2022
55,Mackenzie Mcdonald,1902,1944,11-07-2022
56,Fabio Fognini,1901,2112,11-07-2022
57,Nikoloz Basilashvili,1900,1990,11-07-2022
58,Daniel Evans,1896,2002,11-07-2022
59,Emil Ruusuvuori,1896,1963,11-07-2022
60,Mikael Ymer,1893,1938,11-07-2022
61,Steve Johnson,1892,2042,11-07-2022
62,Adrian Mannarino,1885,2004,11-07-2022
63,Marcos Giron,1884,1934,11-07-2022
64,Lloyd George Muirhead Harris,1882,1988,11-07-2022
65,Vasek Pospisil,1881,1987,11-07-2022
66,Sebastian Baez,1879,1944,11-07-2022
67,Ugo Humbert,1878,2002,11-07-2022
68,Jack Sock,1877,2144,11-07-2022
69,Maxime Cressy,1876,1928,11-07-2022
70,Lorenzo Musetti,1874,1999,11-07-2022
71,Jo Wilfried Tsonga,1873,2244,11-07-2022
72,Aslan Karatsev,1873,1998,11-07-2022
73,Tim Van Rijthoven,1870,1870,11-07-2022
74,Corentin Moutet,1868,1921,11-07-2022
75,Hugo Gaston,1862,1891,11-07-2022
76,Laslo Djere,1861,1945,11-07-2022
77,Benjamin Bonzi,1859,1893,11-07-2022
78,Albert Ramos,1849,2014,11-07-2022
79,Francisco Cerundolo,1849,2014,11-07-2022
80,Philipp Kohlschreiber,1849,2117,11-07-2022
81,Pedro Martinez Portero,1846,1926,11-07-2022
82,Dominik Koepfer,1845,1920,11-07-2022
83,Arthur Rinderknech,1843,1909,11-07-2022
84,Aljaz Bedene,1840,1939,11-07-2022
85,Guido Pella,1839,2009,11-07-2022
86,Pierre Hugues Herbert,1838,1989,11-07-2022
87,Jan Lennard Struff,1837,2037,11-07-2022
88,Tallon Griekspoor,1837,1961,11-07-2022
89,Ricardas Berankis,1836,1914,11-07-2022
90,Soon Woo Kwon,1836,1929,11-07-2022
91,Jack Draper,1835,1977,11-07-2022
92,Daniel Elahi Galan Riveros,1832,1871,11-07-2022
93,Jordan Thompson,1830,1908,11-07-2022
94,John Millman,1830,1954,11-07-2022
95,Jiri Vesely,1828,1952,11-07-2022
96,Gilles Simon,1826,2124,11-07-2022
97,Alejandro Tabilo,1826,1834,11-07-2022
98,Jeffrey John Wolf,1822,1926,11-07-2022
99,Sam Querrey,1816,2068,11-07-2022
100,Egor Gerasimov,1814,1932,11-07-2022
101,Thiago Monteiro,1813,1846,11-07-2022
102,Roman Safiullin,1812,1940,11-07-2022
103,Dusan Lajovic,1811,1962,11-07-2022
104,Jaume Munar,1810,1866,11-07-2022
105,Lucas Pouille,1808,2069,11-07-2022
106,Bernabe Zapata Miralles,1808,1876,11-07-2022
107,Fernando Verdasco,1807,2204,11-07-2022
108,Jason Kubler,1806,1880,11-07-2022
109,Federico Coria,1805,1839,11-07-2022
110,Yannick Hanfmann,1805,1920,11-07-2022
111,Tomas Machac,1804,1806,11-07-2022
112,Alex Bolt,1800,1846,11-07-2022
113,Yoshihito Nishioka,1798,1977,11-07-2022
114,Liam Broady,1797,1822,11-07-2022
115,Pablo Cuevas,1796,2004,11-07-2022
116,Juan Manuel Cerundolo,1795,1807,11-07-2022
117,Kamil Majchrzak,1791,1810,11-07-2022
118,Pablo Andujar,1789,1929,11-07-2022
119,Peter Gojowczyk,1786,1935,11-07-2022
120,Tennys Sandgren,1786,1940,11-07-2022
121,James Duckworth,1784,1887,11-07-2022
122,Sebastian Ofner,1783,1871,11-07-2022
123,Marco Cecchinato,1783,1953,11-07-2022
124,Alexei Popyrin,1781,1916,11-07-2022
125,Taro Daniel,1780,1882,11-07-2022
126,Ernesto Escobedo,1777,1815,11-07-2022
127,Henri Laaksonen,1776,1852,11-07-2022
